name,longitude,latitude,location,ref,man_made,operator,source,url,height,ele,communications_transponder:frequency,communications_transponder:tone,communications_transponder:modulation,communications_transponder:access,communications_transponder:service,communications_transponder:polarisation,communications_transponder:power,comment
WR6TV,-122.39,40.59,"Redding",WR6TV,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.82,88.5,NFM,Public,AMATEUR,,,"offset=-"
K7TJR,-122.4,45.17,"Colton",K7TJR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.94,,NFM,Public,AMATEUR,,,"offset=-"
KA6TGI,-122.42,37.77,"San",KA6TGI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Francisco,67,NFM,Public,AMATEUR,,,"offset=224.22MHz"
KB6LCS,-122.42,37.77,"San",KB6LCS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Francisco,136.5,NFM,Public,AMATEUR,,,"offset=224.42MHz"
W6TP,-122.42,37.77,"San",W6TP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Francisco,114.8,NFM,Public,AMATEUR,,,"offset=224.5MHz"
KA6TGI,-122.42,37.77,"San",KA6TGI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Francisco,136.5,NFM,Public,AMATEUR,,,"offset=224.52MHz"
N7FYU,-122.47,48.8,"King",N7FYU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,103.5,NFM,Public,AMATEUR,,,"offset=224.86MHz"
W6SON,-122.48,37.86,"Sebastopol",W6SON,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.48,88.5,NFM,Public,AMATEUR,,,"offset=-"
KD7HPE,-122.52,47.65,"Bainbridge",KD7HPE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Island,118.8,NFM,Public,AMATEUR,,,"offset=224.8MHz"
AB7F,-122.57,45.67,"Orchards",AB7F,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.64,100,NFM,Public,AMATEUR,,,"offset=-"
KB7APU,-122.68,45.52,"Portland",KB7APU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.72,136.5,NFM,Public,AMATEUR,,,"offset=-"
K7TJR,-122.68,45.52,"Portland",K7TJR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.94,,NFM,Public,AMATEUR,,,"offset=-"
NT7H,-122.7,46.85,"Crawford",NT7H,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,103.5,NFM,Public,AMATEUR,,,"offset=224.46MHz"
WB6PER,-122.71,38.44,"Santa",WB6PER,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Rosa,85.4,NFM,Public,AMATEUR,,,"offset=223.76MHz"
AC6VJ,-122.71,38.44,"Santa",AC6VJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Rosa,156.7,NFM,Public,AMATEUR,,,"offset=223.8MHz"
WA6HYQ,-122.71,38.44,"Santa",WA6HYQ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Rosa,110.9,NFM,Public,AMATEUR,,,"offset=none"
K6TZ,-122.71,38.44,"Santa",K6TZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Ynez,131.8,NFM,Public,AMATEUR,,,"offset=none"
K6ACS,-122.71,38.44,"Santa",K6ACS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Rosa,103.5,NFM,Public,AMATEUR,,,"offset=224.82MHz"
