name,longitude,latitude,location,ref,man_made,operator,source,url,height,ele,communications_transponder:frequency,communications_transponder:tone,communications_transponder:modulation,communications_transponder:access,communications_transponder:service,communications_transponder:polarisation,communications_transponder:power,comment
N8OJ,-81.454857,39.415489,"Marietta",N8OJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.17,141.3,NFM,Public,AMATEUR,,,"offset=-1MHz"
KN4AS,-81.412262,34.196072,"Little",KN4AS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,156.7,NFM,Public,AMATEUR,,,"offset=53.19MHz"
WD8BIW,-81.408531,40.974548,"Uniontown",WD8BIW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.25,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KS4SX,-81.378983,28.53854,"Orlando",KS4SX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.05,103.5,NFM,Public,AMATEUR,,,"offset=-1MHz"
W4PLB,-81.378983,28.53854,"Orlando",W4PLB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.19,103.5,NFM,Public,AMATEUR,,,"offset=-1MHz"
KF4MX,-81.314667,29.89455,"St",KF4MX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Augustine,,NFM,Public,AMATEUR,,,"offset=53.25MHz"
KF4SXO,-81.214134,34.70488,"Chester",KF4SXO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.29,,NFM,Public,AMATEUR,,,"offset=-1MHz"
N8FWL,-81.188103,37.777931,"Beckley",N8FWL,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.17,123,NFM,Public,AMATEUR,,,"offset=-1MHz"
WB8YST,-81.188103,37.777931,"Beckley",WB8YST,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.59,107.2,NFM,Public,AMATEUR,,,"offset=-1MHz"
K4GNC,-81.18782,35.262131,"Gastonia",K4GNC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.11,100,NFM,Public,AMATEUR,,,"offset=-1MHz"
KB8GJG,-81.14814,41.162979,"Charleston",KB8GJG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.39,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KB8SXE,-81.085258,40.572361,"Carrollton",KB8SXE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.07,,NFM,Public,AMATEUR,,,"offset=-1MHz"
W8SSB,-81.085258,40.572361,"Carrollton",W8SSB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.45,,NFM,Public,AMATEUR,,,"offset=-1MHz"
AD4U,-80.855293,33.491169,"Orangeburg",AD4U,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.21,,NFM,Public,AMATEUR,,,"offset=-1MHz"
K4OKE,-80.830002,27.24375,"Okeechobee",K4OKE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.31,,NFM,Public,AMATEUR,,,"offset=-1MHz"
AB8WB,-80.775421,38.673531,"Gassaway",AB8WB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.21,123,NFM,Public,AMATEUR,,,"offset=-1MHz"
KB8TJH,-80.7658,39.398289,"Shirley",KB8TJH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.31,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KC8WY,-80.760918,41.02475,"Canfield",KC8WY,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.21,131.8,NFM,Public,AMATEUR,,,"offset=-1MHz"
WB4OEZ,-80.74221,28.386209,"Cocoa",WB4OEZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.07,118.8,NFM,Public,AMATEUR,,,"offset=-1MHz"
KE4JYN,-80.735153,37.326389,"Pearisburg",KE4JYN,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.47,107.2,NFM,Public,AMATEUR,,,"offset=-1MHz"
WA4CQK,-80.691917,36.666031,"Fancy",WA4CQK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Gap,100,NFM,Public,AMATEUR,,,"offset=53.29MHz"
N8CQQ,-80.650528,38.72311,"Flatwoods",N8CQQ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.11,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KD4FWS,-80.605339,36.499962,"Mt",KD4FWS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Airy,100,NFM,Public,AMATEUR,,,"offset=53.07MHz"
N4DAJ,-80.605339,36.499962,"Mt",N4DAJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Airy,100,NFM,Public,AMATEUR,,,"offset=53.97MHz"
W4ZO,-80.549591,34.985359,"Monroe",W4ZO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.37,100,NFM,Public,AMATEUR,,,"offset=-1MHz"
WB8YST,-80.532936,38.224312,"Richwood",WB8YST,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.71,107.2,NFM,Public,AMATEUR,,,"offset=-1MHz"
KC8LRN,-80.444511,37.80114,"Lewisburg",KC8LRN,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.93,131.8,NFM,Public,AMATEUR,,,"offset=-1MHz"
W4VRB,-80.397743,27.638571,"Vero",W4VRB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Beach,100,NFM,Public,AMATEUR,,,"offset=53.33MHz"
WA3WYZ,-80.366333,41.890869,"Albion",WA3WYZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.55,186.2,NFM,Public,AMATEUR,,,"offset=-1MHz"
W4GL,-80.341713,33.920399,"Sumter",W4GL,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.77,,NFM,Public,AMATEUR,,,"offset=-1MHz"
WB4IVM,-80.27858,25.85689,"Hialeah",WB4IVM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.21,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KD4BBM,-80.269012,25.72084,"Coral",KD4BBM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Gables,94.8,NFM,Public,AMATEUR,,,"offset=51.66MHz"
K4NOC,-80.248581,34.21814,"Bishopville",K4NOC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.09,,NFM,Public,AMATEUR,,,"offset=-1MHz"
AC4XQ,-80.193565,25.774111,"Miami",AC4XQ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.03,,NFM,Public,AMATEUR,,,"offset=-1MHz"
WB4TWQ,-80.193565,25.774111,"Miami",WB4TWQ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.05,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KR4DQ,-80.193565,25.774111,"Miami",KR4DQ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.15,100,NFM,Public,AMATEUR,,,"offset=-1MHz"
W4HN,-80.193565,25.774111,"Miami",W4HN,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.25,110.9,NFM,Public,AMATEUR,,,"offset=-1MHz"
KC8CSE,-80.12233,38.415989,"Snowshoe",KC8CSE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.33,156.7,NFM,Public,AMATEUR,,,"offset=-1MHz"
N3WX,-80.108719,40.355179,"Bridgeville",N3WX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.94,,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
KE4QOX,-80.084167,35.88179,"Thomasville",KE4QOX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.01,88.5,NFM,Public,AMATEUR,,,"offset=-1MHz"
WW4DC,-80.084167,35.88179,"Thomasville",WW4DC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.17,88.5,NFM,Public,AMATEUR,,,"offset=-1MHz"
N3OVP,-80.003853,40.25285,"Finleyville",N3OVP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.98,,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
WB8BON,-79.94059,37.270168,"Roanoke",WB8BON,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.09,,NFM,Public,AMATEUR,,,"offset=-1MHz"
N4CH,-79.94059,37.270168,"Roanoke",N4CH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.25,,NFM,Public,AMATEUR,,,"offset=-1MHz"
WA3PBD,-79.911667,40.405678,"Homestead",WA3PBD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.74,,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
N3UR,-79.898659,36.845299,"Fork",N3UR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mountain,,NFM,Public,AMATEUR,,,"offset=53.23MHz"
WR4BEG,-79.858963,35.822121,"Sophia",WR4BEG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.35,,NFM,Public,AMATEUR,,,"offset=-1MHz"
WB3KFO,-79.671738,41.62709,"Titusville",WB3KFO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.82,,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
N3HOM,-79.60788,40.219841,"New",N3HOM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Stanton,141.3,NFM,Public,AMATEUR,,,"offset=51.84MHz"
WB2EDV,-79.595169,42.16077,"Sherman",WB2EDV,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.61,127.3,NFM,Public,AMATEUR,,,"offset=-1MHz"
N1RS,-79.566254,40.58152,"Apollo",N1RS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.9,141.3,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
KA3JSD,-79.541412,40.149521,"Mt",KA3JSD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Pleasant,141.3,NFM,Public,AMATEUR,,,"offset=51.96MHz"
N4CH,-79.523491,37.33445,"Bedford",N4CH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.15,,NFM,Public,AMATEUR,,,"offset=-1MHz"
N4TZE,-79.523491,37.33445,"Bedford",N4TZE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.77,103.5,NFM,Public,AMATEUR,,,"offset=-1MHz"
N2FMM,-79.503372,42.255322,"Mayville",N2FMM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.57,127.3,NFM,Public,AMATEUR,,,"offset=-1MHz"
KI4ZR,-79.442978,37.784168,"Lexington",KI4ZR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.01,,NFM,Public,AMATEUR,,,"offset=-1MHz"
N3QZU,-79.428391,40.126518,"Acme",N3QZU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.78,,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
WB4GJG,-79.393738,36.585232,"Danville",WB4GJG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.13,,NFM,Public,AMATEUR,,,"offset=-1MHz"
N3GPM,-79.228386,41.411572,"Vowinkel",N3GPM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.7,,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
KD4JFN,-79.177383,35.720093,"Pittsboro",KD4JFN,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.23,107.2,NFM,Public,AMATEUR,,,"offset=-1MHz"
N4QLX,-79.172302,35.476101,"Sauratown",N4QLX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,,NFM,Public,AMATEUR,,,"offset=53.21MHz"
WA1YYN,-79.168999,36.081211,"Efland",WA1YYN,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.41,107.2,NFM,Public,AMATEUR,,,"offset=-1MHz"
KE4KEH,-79.142471,37.413612,"Lynchburg",KE4KEH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.57,103.5,NFM,Public,AMATEUR,,,"offset=-1MHz"
W4UNC,-79.055771,35.913239,"Chapel",W4UNC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Hill,107.2,NFM,Public,AMATEUR,,,"offset=53.45MHz"
KD4BGD,-79.008713,34.61792,"Lumberton",KD4BGD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.11,,NFM,Public,AMATEUR,,,"offset=-1MHz"
N3FQQ,-78.921761,40.32682,"Johnstown",N3FQQ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.8,,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
W4BAD,-78.896912,35.992779,"Durham",W4BAD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.75,,NFM,Public,AMATEUR,,,"offset=-1MHz"
K4SHP,-78.88765,33.688721,"MyrtleBeach",K4SHP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.05,100,NFM,Public,AMATEUR,,,"offset=-1MHz"
